case_id,用例类型,场景标签,原始地址,省,市,区县,街道,门牌号,小区,楼栋,单元,室号,邮编,经纬度,预期标准化地址,预期判定,是否需人工复核,备注
CNADDR-0145,integration,标准地址,上海市上海市浦东新区世纪大道17号书香门第16栋6单元1695室,上海市,上海市,浦东新区,世纪大道,17号,书香门第,16栋,6单元,1695室,200145,121.480000|31.240000,上海市上海市浦东新区世纪大道17号 书香门第16栋6单元1695室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0146,integration,简称/别名,北京市朝阳区中山东一路24号未来城19幢1706室,北京市,北京市,朝阳区,中山东一路,24号,未来城,19栋,3单元,1706室,100146,116.412000|39.912000,北京市北京市朝阳区中山东一路24号 未来城19栋3单元1706室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0147,integration,简称/别名,深圳市罗湖区南京西路31号星河湾2幢1717室,广东省,深圳市,罗湖区,南京西路,31号,星河湾,2栋,8单元,1717室,518147,114.074000|22.564000,广东省深圳市罗湖区南京西路31号 星河湾2栋8单元1717室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0148,integration,缺失门牌,江苏省苏州市虎丘区人民路万和府5栋5单元1728室,江苏省,苏州市,虎丘区,人民路,38号,万和府,5栋,5单元,1728室,215148,120.636000|31.316000,江苏省苏州市虎丘区人民路38号 万和府5栋5单元1728室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0149,integration,疑似不存在,湖北省武汉市武昌区不存在路45号龙湖天街,湖北省,武汉市,武昌区,建设路,45号,龙湖天街,8栋,2单元,1739室,430149,114.318000|30.608000,湖北省武汉市武昌区不存在路45号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0150,integration,标准地址,湖北省随州市广水市解放大道52号翡翠城11栋7单元1750室,湖北省,随州市,广水市,解放大道,52号,翡翠城,11栋,7单元,1750室,441450,113.400000|31.710000,湖北省随州市广水市解放大道52号 翡翠城11栋7单元1750室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0151,integration,标准地址,上海市上海市浦东新区创新大道59号东方明珠花园14栋4单元1761室,上海市,上海市,浦东新区,创新大道,59号,东方明珠花园,14栋,4单元,1761室,200151,121.492000|31.252000,上海市上海市浦东新区创新大道59号 东方明珠花园14栋4单元1761室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0152,integration,标准地址,北京市北京市朝阳区科创路66号海纳公馆17栋1单元1772室,北京市,北京市,朝阳区,科创路,66号,海纳公馆,17栋,1单元,1772室,100152,116.424000|39.924000,北京市北京市朝阳区科创路66号 海纳公馆17栋1单元1772室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0153,integration,标准地址,广东省深圳市罗湖区友谊路73号锦绣家园20栋6单元1783室,广东省,深圳市,罗湖区,友谊路,73号,锦绣家园,20栋,6单元,1783室,518153,114.086000|22.576000,广东省深圳市罗湖区友谊路73号 锦绣家园20栋6单元1783室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0154,integration,标准地址,江苏省苏州市虎丘区沿江大道80号金色华庭3栋3单元1794室,江苏省,苏州市,虎丘区,沿江大道,80号,金色华庭,3栋,3单元,1794室,215154,120.648000|31.328000,江苏省苏州市虎丘区沿江大道80号 金色华庭3栋3单元1794室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0155,integration,标准地址,湖北省武汉市武昌区文化路87号书香门第6栋8单元1805室,湖北省,武汉市,武昌区,文化路,87号,书香门第,6栋,8单元,1805室,430155,114.330000|30.620000,湖北省武汉市武昌区文化路87号 书香门第6栋8单元1805室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0156,integration,简称/别名,随州市广水市幸福路94号未来城9幢1816室,湖北省,随州市,广水市,幸福路,94号,未来城,9栋,5单元,1816室,441456,113.412000|31.722000,湖北省随州市广水市幸福路94号 未来城9栋5单元1816室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0157,integration,简称/别名,上海市浦东新区世纪大道101号星河湾12幢1827室,上海市,上海市,浦东新区,世纪大道,101号,星河湾,12栋,2单元,1827室,200157,121.504000|31.264000,上海市上海市浦东新区世纪大道101号 星河湾12栋2单元1827室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0158,integration,缺失门牌,北京市北京市朝阳区中山东一路万和府15栋7单元1838室,北京市,北京市,朝阳区,中山东一路,108号,万和府,15栋,7单元,1838室,100158,116.436000|39.936000,北京市北京市朝阳区中山东一路108号 万和府15栋7单元1838室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0159,integration,疑似不存在,广东省深圳市罗湖区不存在路115号龙湖天街,广东省,深圳市,罗湖区,南京西路,115号,龙湖天街,18栋,4单元,1849室,518159,114.098000|22.588000,广东省深圳市罗湖区不存在路115号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0160,integration,标准地址,江苏省苏州市虎丘区人民路122号翡翠城1栋1单元1860室,江苏省,苏州市,虎丘区,人民路,122号,翡翠城,1栋,1单元,1860室,215160,120.620000|31.300000,江苏省苏州市虎丘区人民路122号 翡翠城1栋1单元1860室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0161,integration,标准地址,湖北省武汉市武昌区建设路129号东方明珠花园4栋6单元1871室,湖北省,武汉市,武昌区,建设路,129号,东方明珠花园,4栋,6单元,1871室,430161,114.302000|30.592000,湖北省武汉市武昌区建设路129号 东方明珠花园4栋6单元1871室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0162,integration,标准地址,湖北省随州市广水市解放大道136号海纳公馆7栋3单元1882室,湖北省,随州市,广水市,解放大道,136号,海纳公馆,7栋,3单元,1882室,441462,113.384000|31.694000,湖北省随州市广水市解放大道136号 海纳公馆7栋3单元1882室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0163,integration,标准地址,上海市上海市浦东新区创新大道143号锦绣家园10栋8单元1893室,上海市,上海市,浦东新区,创新大道,143号,锦绣家园,10栋,8单元,1893室,200163,121.476000|31.236000,上海市上海市浦东新区创新大道143号 锦绣家园10栋8单元1893室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0164,integration,标准地址,北京市北京市朝阳区科创路150号金色华庭13栋5单元1904室,北京市,北京市,朝阳区,科创路,150号,金色华庭,13栋,5单元,1904室,100164,116.408000|39.908000,北京市北京市朝阳区科创路150号 金色华庭13栋5单元1904室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0165,integration,标准地址,广东省深圳市罗湖区友谊路157号书香门第16栋2单元1915室,广东省,深圳市,罗湖区,友谊路,157号,书香门第,16栋,2单元,1915室,518165,114.070000|22.560000,广东省深圳市罗湖区友谊路157号 书香门第16栋2单元1915室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0166,integration,简称/别名,苏州市虎丘区沿江大道164号未来城19幢1926室,江苏省,苏州市,虎丘区,沿江大道,164号,未来城,19栋,7单元,1926室,215166,120.632000|31.312000,江苏省苏州市虎丘区沿江大道164号 未来城19栋7单元1926室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0167,integration,简称/别名,武汉市武昌区文化路171号星河湾2幢1937室,湖北省,武汉市,武昌区,文化路,171号,星河湾,2栋,4单元,1937室,430167,114.314000|30.604000,湖北省武汉市武昌区文化路171号 星河湾2栋4单元1937室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0168,integration,缺失门牌,湖北省随州市广水市幸福路万和府5栋1单元1948室,湖北省,随州市,广水市,幸福路,178号,万和府,5栋,1单元,1948室,441468,113.396000|31.706000,湖北省随州市广水市幸福路178号 万和府5栋1单元1948室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0169,integration,疑似不存在,上海市上海市浦东新区不存在路185号龙湖天街,上海市,上海市,浦东新区,世纪大道,185号,龙湖天街,8栋,6单元,1959室,200169,121.488000|31.248000,上海市上海市浦东新区不存在路185号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0170,integration,标准地址,北京市北京市朝阳区中山东一路192号翡翠城11栋3单元1970室,北京市,北京市,朝阳区,中山东一路,192号,翡翠城,11栋,3单元,1970室,100170,116.420000|39.920000,北京市北京市朝阳区中山东一路192号 翡翠城11栋3单元1970室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0171,integration,标准地址,广东省深圳市罗湖区南京西路199号东方明珠花园14栋8单元1981室,广东省,深圳市,罗湖区,南京西路,199号,东方明珠花园,14栋,8单元,1981室,518171,114.082000|22.572000,广东省深圳市罗湖区南京西路199号 东方明珠花园14栋8单元1981室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0172,integration,标准地址,江苏省苏州市虎丘区人民路206号海纳公馆17栋5单元1992室,江苏省,苏州市,虎丘区,人民路,206号,海纳公馆,17栋,5单元,1992室,215172,120.644000|31.324000,江苏省苏州市虎丘区人民路206号 海纳公馆17栋5单元1992室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0173,integration,标准地址,湖北省武汉市武昌区建设路213号锦绣家园20栋2单元2003室,湖北省,武汉市,武昌区,建设路,213号,锦绣家园,20栋,2单元,2003室,430173,114.326000|30.616000,湖北省武汉市武昌区建设路213号 锦绣家园20栋2单元2003室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0174,integration,标准地址,湖北省随州市广水市解放大道220号金色华庭3栋7单元2014室,湖北省,随州市,广水市,解放大道,220号,金色华庭,3栋,7单元,2014室,441474,113.408000|31.718000,湖北省随州市广水市解放大道220号 金色华庭3栋7单元2014室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0175,integration,标准地址,上海市上海市浦东新区创新大道227号书香门第6栋4单元2025室,上海市,上海市,浦东新区,创新大道,227号,书香门第,6栋,4单元,2025室,200175,121.500000|31.260000,上海市上海市浦东新区创新大道227号 书香门第6栋4单元2025室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0176,integration,简称/别名,北京市朝阳区科创路234号未来城9幢2036室,北京市,北京市,朝阳区,科创路,234号,未来城,9栋,1单元,2036室,100176,116.432000|39.932000,北京市北京市朝阳区科创路234号 未来城9栋1单元2036室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0177,integration,简称/别名,深圳市罗湖区友谊路241号星河湾12幢2047室,广东省,深圳市,罗湖区,友谊路,241号,星河湾,12栋,6单元,2047室,518177,114.094000|22.584000,广东省深圳市罗湖区友谊路241号 星河湾12栋6单元2047室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0178,integration,缺失门牌,江苏省苏州市虎丘区沿江大道万和府15栋3单元2058室,江苏省,苏州市,虎丘区,沿江大道,248号,万和府,15栋,3单元,2058室,215178,120.656000|31.336000,江苏省苏州市虎丘区沿江大道248号 万和府15栋3单元2058室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0179,integration,疑似不存在,湖北省武汉市武昌区不存在路255号龙湖天街,湖北省,武汉市,武昌区,文化路,255号,龙湖天街,18栋,8单元,2069室,430179,114.338000|30.628000,湖北省武汉市武昌区不存在路255号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0180,integration,标准地址,湖北省随州市广水市幸福路262号翡翠城1栋5单元2080室,湖北省,随州市,广水市,幸福路,262号,翡翠城,1栋,5单元,2080室,441480,113.380000|31.690000,湖北省随州市广水市幸福路262号 翡翠城1栋5单元2080室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0181,integration,标准地址,上海市上海市浦东新区世纪大道269号东方明珠花园4栋2单元2091室,上海市,上海市,浦东新区,世纪大道,269号,东方明珠花园,4栋,2单元,2091室,200181,121.472000|31.232000,上海市上海市浦东新区世纪大道269号 东方明珠花园4栋2单元2091室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0182,integration,标准地址,北京市北京市朝阳区中山东一路276号海纳公馆7栋7单元2102室,北京市,北京市,朝阳区,中山东一路,276号,海纳公馆,7栋,7单元,2102室,100182,116.404000|39.904000,北京市北京市朝阳区中山东一路276号 海纳公馆7栋7单元2102室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0183,integration,标准地址,广东省深圳市罗湖区南京西路283号锦绣家园10栋4单元2113室,广东省,深圳市,罗湖区,南京西路,283号,锦绣家园,10栋,4单元,2113室,518183,114.066000|22.556000,广东省深圳市罗湖区南京西路283号 锦绣家园10栋4单元2113室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0184,integration,标准地址,江苏省苏州市虎丘区人民路290号金色华庭13栋1单元2124室,江苏省,苏州市,虎丘区,人民路,290号,金色华庭,13栋,1单元,2124室,215184,120.628000|31.308000,江苏省苏州市虎丘区人民路290号 金色华庭13栋1单元2124室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0185,integration,标准地址,湖北省武汉市武昌区建设路297号书香门第16栋6单元2135室,湖北省,武汉市,武昌区,建设路,297号,书香门第,16栋,6单元,2135室,430185,114.310000|30.600000,湖北省武汉市武昌区建设路297号 书香门第16栋6单元2135室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0186,integration,简称/别名,随州市广水市解放大道304号未来城19幢2146室,湖北省,随州市,广水市,解放大道,304号,未来城,19栋,3单元,2146室,441486,113.392000|31.702000,湖北省随州市广水市解放大道304号 未来城19栋3单元2146室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0187,integration,简称/别名,上海市浦东新区创新大道311号星河湾2幢2157室,上海市,上海市,浦东新区,创新大道,311号,星河湾,2栋,8单元,2157室,200187,121.484000|31.244000,上海市上海市浦东新区创新大道311号 星河湾2栋8单元2157室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0188,integration,缺失门牌,北京市北京市朝阳区科创路万和府5栋5单元2168室,北京市,北京市,朝阳区,科创路,318号,万和府,5栋,5单元,2168室,100188,116.416000|39.916000,北京市北京市朝阳区科创路318号 万和府5栋5单元2168室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0189,integration,疑似不存在,广东省深圳市罗湖区不存在路325号龙湖天街,广东省,深圳市,罗湖区,友谊路,325号,龙湖天街,8栋,2单元,2179室,518189,114.078000|22.568000,广东省深圳市罗湖区不存在路325号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0190,integration,标准地址,江苏省苏州市虎丘区沿江大道332号翡翠城11栋7单元2190室,江苏省,苏州市,虎丘区,沿江大道,332号,翡翠城,11栋,7单元,2190室,215190,120.640000|31.320000,江苏省苏州市虎丘区沿江大道332号 翡翠城11栋7单元2190室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0191,integration,标准地址,湖北省武汉市武昌区文化路339号东方明珠花园14栋4单元2201室,湖北省,武汉市,武昌区,文化路,339号,东方明珠花园,14栋,4单元,2201室,430191,114.322000|30.612000,湖北省武汉市武昌区文化路339号 东方明珠花园14栋4单元2201室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0192,integration,标准地址,湖北省随州市广水市幸福路346号海纳公馆17栋1单元2212室,湖北省,随州市,广水市,幸福路,346号,海纳公馆,17栋,1单元,2212室,441492,113.404000|31.714000,湖北省随州市广水市幸福路346号 海纳公馆17栋1单元2212室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0193,integration,标准地址,上海市上海市浦东新区世纪大道353号锦绣家园20栋6单元2223室,上海市,上海市,浦东新区,世纪大道,353号,锦绣家园,20栋,6单元,2223室,200193,121.496000|31.256000,上海市上海市浦东新区世纪大道353号 锦绣家园20栋6单元2223室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0194,integration,标准地址,北京市北京市朝阳区中山东一路360号金色华庭3栋3单元2234室,北京市,北京市,朝阳区,中山东一路,360号,金色华庭,3栋,3单元,2234室,100194,116.428000|39.928000,北京市北京市朝阳区中山东一路360号 金色华庭3栋3单元2234室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0195,integration,标准地址,广东省深圳市罗湖区南京西路367号书香门第6栋8单元2245室,广东省,深圳市,罗湖区,南京西路,367号,书香门第,6栋,8单元,2245室,518195,114.090000|22.580000,广东省深圳市罗湖区南京西路367号 书香门第6栋8单元2245室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0196,integration,简称/别名,苏州市虎丘区人民路374号未来城9幢2256室,江苏省,苏州市,虎丘区,人民路,374号,未来城,9栋,5单元,2256室,215196,120.652000|31.332000,江苏省苏州市虎丘区人民路374号 未来城9栋5单元2256室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0197,integration,简称/别名,武汉市武昌区建设路381号星河湾12幢2267室,湖北省,武汉市,武昌区,建设路,381号,星河湾,12栋,2单元,2267室,430197,114.334000|30.624000,湖北省武汉市武昌区建设路381号 星河湾12栋2单元2267室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0198,integration,缺失门牌,湖北省随州市广水市解放大道万和府15栋7单元2278室,湖北省,随州市,广水市,解放大道,388号,万和府,15栋,7单元,2278室,441498,113.416000|31.726000,湖北省随州市广水市解放大道388号 万和府15栋7单元2278室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0199,integration,疑似不存在,上海市上海市浦东新区不存在路395号龙湖天街,上海市,上海市,浦东新区,创新大道,395号,龙湖天街,18栋,4单元,2289室,200199,121.508000|31.268000,上海市上海市浦东新区不存在路395号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0200,integration,标准地址,北京市北京市朝阳区科创路402号翡翠城1栋1单元2300室,北京市,北京市,朝阳区,科创路,402号,翡翠城,1栋,1单元,2300室,100200,116.400000|39.900000,北京市北京市朝阳区科创路402号 翡翠城1栋1单元2300室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0201,integration,标准地址,广东省深圳市罗湖区友谊路409号东方明珠花园4栋6单元2311室,广东省,深圳市,罗湖区,友谊路,409号,东方明珠花园,4栋,6单元,2311室,518201,114.062000|22.552000,广东省深圳市罗湖区友谊路409号 东方明珠花园4栋6单元2311室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0202,integration,标准地址,江苏省苏州市虎丘区沿江大道416号海纳公馆7栋3单元2322室,江苏省,苏州市,虎丘区,沿江大道,416号,海纳公馆,7栋,3单元,2322室,215202,120.624000|31.304000,江苏省苏州市虎丘区沿江大道416号 海纳公馆7栋3单元2322室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0203,integration,标准地址,湖北省武汉市武昌区文化路423号锦绣家园10栋8单元2333室,湖北省,武汉市,武昌区,文化路,423号,锦绣家园,10栋,8单元,2333室,430203,114.306000|30.596000,湖北省武汉市武昌区文化路423号 锦绣家园10栋8单元2333室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0204,integration,标准地址,湖北省随州市广水市幸福路430号金色华庭13栋5单元2344室,湖北省,随州市,广水市,幸福路,430号,金色华庭,13栋,5单元,2344室,441504,113.388000|31.698000,湖北省随州市广水市幸福路430号 金色华庭13栋5单元2344室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0205,integration,标准地址,上海市上海市浦东新区世纪大道437号书香门第16栋2单元2355室,上海市,上海市,浦东新区,世纪大道,437号,书香门第,16栋,2单元,2355室,200205,121.480000|31.240000,上海市上海市浦东新区世纪大道437号 书香门第16栋2单元2355室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0206,integration,简称/别名,北京市朝阳区中山东一路444号未来城19幢2366室,北京市,北京市,朝阳区,中山东一路,444号,未来城,19栋,7单元,2366室,100206,116.412000|39.912000,北京市北京市朝阳区中山东一路444号 未来城19栋7单元2366室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0207,integration,简称/别名,深圳市罗湖区南京西路451号星河湾2幢2377室,广东省,深圳市,罗湖区,南京西路,451号,星河湾,2栋,4单元,2377室,518207,114.074000|22.564000,广东省深圳市罗湖区南京西路451号 星河湾2栋4单元2377室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0208,integration,缺失门牌,江苏省苏州市虎丘区人民路万和府5栋1单元2388室,江苏省,苏州市,虎丘区,人民路,458号,万和府,5栋,1单元,2388室,215208,120.636000|31.316000,江苏省苏州市虎丘区人民路458号 万和府5栋1单元2388室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0209,integration,疑似不存在,湖北省武汉市武昌区不存在路465号龙湖天街,湖北省,武汉市,武昌区,建设路,465号,龙湖天街,8栋,6单元,2399室,430209,114.318000|30.608000,湖北省武汉市武昌区不存在路465号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0210,integration,标准地址,湖北省随州市广水市解放大道472号翡翠城11栋3单元2410室,湖北省,随州市,广水市,解放大道,472号,翡翠城,11栋,3单元,2410室,441510,113.400000|31.710000,湖北省随州市广水市解放大道472号 翡翠城11栋3单元2410室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0211,integration,标准地址,上海市上海市浦东新区创新大道479号东方明珠花园14栋8单元2421室,上海市,上海市,浦东新区,创新大道,479号,东方明珠花园,14栋,8单元,2421室,200211,121.492000|31.252000,上海市上海市浦东新区创新大道479号 东方明珠花园14栋8单元2421室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0212,integration,标准地址,北京市北京市朝阳区科创路486号海纳公馆17栋5单元2432室,北京市,北京市,朝阳区,科创路,486号,海纳公馆,17栋,5单元,2432室,100212,116.424000|39.924000,北京市北京市朝阳区科创路486号 海纳公馆17栋5单元2432室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0213,integration,标准地址,广东省深圳市罗湖区友谊路493号锦绣家园20栋2单元2443室,广东省,深圳市,罗湖区,友谊路,493号,锦绣家园,20栋,2单元,2443室,518213,114.086000|22.576000,广东省深圳市罗湖区友谊路493号 锦绣家园20栋2单元2443室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0214,integration,标准地址,江苏省苏州市虎丘区沿江大道500号金色华庭3栋7单元2454室,江苏省,苏州市,虎丘区,沿江大道,500号,金色华庭,3栋,7单元,2454室,215214,120.648000|31.328000,江苏省苏州市虎丘区沿江大道500号 金色华庭3栋7单元2454室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0215,integration,标准地址,湖北省武汉市武昌区文化路507号书香门第6栋4单元2465室,湖北省,武汉市,武昌区,文化路,507号,书香门第,6栋,4单元,2465室,430215,114.330000|30.620000,湖北省武汉市武昌区文化路507号 书香门第6栋4单元2465室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0216,integration,简称/别名,随州市广水市幸福路514号未来城9幢2476室,湖北省,随州市,广水市,幸福路,514号,未来城,9栋,1单元,2476室,441516,113.412000|31.722000,湖北省随州市广水市幸福路514号 未来城9栋1单元2476室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0217,integration,简称/别名,上海市浦东新区世纪大道521号星河湾12幢2487室,上海市,上海市,浦东新区,世纪大道,521号,星河湾,12栋,6单元,2487室,200217,121.504000|31.264000,上海市上海市浦东新区世纪大道521号 星河湾12栋6单元2487室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0218,integration,缺失门牌,北京市北京市朝阳区中山东一路万和府15栋3单元2498室,北京市,北京市,朝阳区,中山东一路,528号,万和府,15栋,3单元,2498室,100218,116.436000|39.936000,北京市北京市朝阳区中山东一路528号 万和府15栋3单元2498室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0219,integration,疑似不存在,广东省深圳市罗湖区不存在路535号龙湖天街,广东省,深圳市,罗湖区,南京西路,535号,龙湖天街,18栋,8单元,2509室,518219,114.098000|22.588000,广东省深圳市罗湖区不存在路535号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0220,integration,标准地址,江苏省苏州市虎丘区人民路542号翡翠城1栋5单元2520室,江苏省,苏州市,虎丘区,人民路,542号,翡翠城,1栋,5单元,2520室,215220,120.620000|31.300000,江苏省苏州市虎丘区人民路542号 翡翠城1栋5单元2520室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0221,integration,标准地址,湖北省武汉市武昌区建设路549号东方明珠花园4栋2单元2531室,湖北省,武汉市,武昌区,建设路,549号,东方明珠花园,4栋,2单元,2531室,430221,114.302000|30.592000,湖北省武汉市武昌区建设路549号 东方明珠花园4栋2单元2531室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0222,integration,标准地址,湖北省随州市广水市解放大道556号海纳公馆7栋7单元2542室,湖北省,随州市,广水市,解放大道,556号,海纳公馆,7栋,7单元,2542室,441522,113.384000|31.694000,湖北省随州市广水市解放大道556号 海纳公馆7栋7单元2542室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0223,integration,标准地址,上海市上海市浦东新区创新大道563号锦绣家园10栋4单元2553室,上海市,上海市,浦东新区,创新大道,563号,锦绣家园,10栋,4单元,2553室,200223,121.476000|31.236000,上海市上海市浦东新区创新大道563号 锦绣家园10栋4单元2553室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0224,integration,标准地址,北京市北京市朝阳区科创路570号金色华庭13栋1单元2564室,北京市,北京市,朝阳区,科创路,570号,金色华庭,13栋,1单元,2564室,100224,116.408000|39.908000,北京市北京市朝阳区科创路570号 金色华庭13栋1单元2564室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0225,integration,标准地址,广东省深圳市罗湖区友谊路577号书香门第16栋6单元2575室,广东省,深圳市,罗湖区,友谊路,577号,书香门第,16栋,6单元,2575室,518225,114.070000|22.560000,广东省深圳市罗湖区友谊路577号 书香门第16栋6单元2575室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0226,integration,简称/别名,苏州市虎丘区沿江大道584号未来城19幢2586室,江苏省,苏州市,虎丘区,沿江大道,584号,未来城,19栋,3单元,2586室,215226,120.632000|31.312000,江苏省苏州市虎丘区沿江大道584号 未来城19栋3单元2586室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0227,integration,简称/别名,武汉市武昌区文化路591号星河湾2幢2597室,湖北省,武汉市,武昌区,文化路,591号,星河湾,2栋,8单元,2597室,430227,114.314000|30.604000,湖北省武汉市武昌区文化路591号 星河湾2栋8单元2597室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0228,integration,缺失门牌,湖北省随州市广水市幸福路万和府5栋5单元2608室,湖北省,随州市,广水市,幸福路,598号,万和府,5栋,5单元,2608室,441528,113.396000|31.706000,湖北省随州市广水市幸福路598号 万和府5栋5单元2608室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0229,integration,疑似不存在,上海市上海市浦东新区不存在路605号龙湖天街,上海市,上海市,浦东新区,世纪大道,605号,龙湖天街,8栋,2单元,2619室,200229,121.488000|31.248000,上海市上海市浦东新区不存在路605号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0230,integration,标准地址,北京市北京市朝阳区中山东一路612号翡翠城11栋7单元2630室,北京市,北京市,朝阳区,中山东一路,612号,翡翠城,11栋,7单元,2630室,100230,116.420000|39.920000,北京市北京市朝阳区中山东一路612号 翡翠城11栋7单元2630室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0231,integration,标准地址,广东省深圳市罗湖区南京西路619号东方明珠花园14栋4单元2641室,广东省,深圳市,罗湖区,南京西路,619号,东方明珠花园,14栋,4单元,2641室,518231,114.082000|22.572000,广东省深圳市罗湖区南京西路619号 东方明珠花园14栋4单元2641室,accept,否,Phase1.5-Lab-中文地址样本-六城
