case_id,type,shard,phase_focus,batch_id,sample_spec_id,sample_mode,candidate_count,approval_status,caller_role,fault_mode,baseline_auto_pass_rate,baseline_review_rate,baseline_human_required_rate,baseline_consistency_score,baseline_quality_gate_pass_rate,baseline_review_accept_rate,candidate_auto_pass_rate,candidate_review_rate,candidate_human_required_rate,candidate_consistency_score,candidate_quality_gate_pass_rate,candidate_review_accept_rate,expected_recommendation,expected_http,expected_activation_allowed,expected_replay_available,expected_audit_events,time_budget_seconds
INT-0223,integration,03,A3_scorecard_decide,batch-0223,ss-08,sample_spec,3,pending,operator,none,0.600,0.400,0.204,0.875,0.888,0.831,0.590,0.410,0.234,0.835,0.858,0.811,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0224,integration,03,A3_scorecard_decide,batch-0224,ss-09,sample_spec,3,approved,reviewer,timeout,0.610,0.390,0.156,0.880,0.894,0.782,0.630,0.370,0.166,0.885,0.894,0.792,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0225,integration,03,A3_scorecard_decide,batch-0225,ss-10,sample_spec,3,pending,admin,tool_5xx,0.620,0.380,0.164,0.840,0.900,0.789,0.650,0.350,0.144,0.850,0.910,0.809,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0226,integration,03,A3_scorecard_decide,batch-0226,ss-11,sample_spec,3,pending,operator,none,0.630,0.370,0.172,0.845,0.906,0.796,0.620,0.380,0.202,0.805,0.876,0.776,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0227,integration,03,A3_scorecard_decide,batch-0227,ss-12,sample_spec,3,pending,operator,none,0.640,0.360,0.180,0.850,0.912,0.803,0.660,0.340,0.190,0.855,0.912,0.813,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0228,integration,03,A3_scorecard_decide,batch-0228,ss-13,sample_spec,3,approved,operator,event_drop,0.650,0.350,0.188,0.855,0.882,0.810,0.680,0.320,0.168,0.865,0.892,0.830,accept,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0229,integration,03,A3_scorecard_decide,batch-0229,ss-14,sample_spec,3,pending,operator,none,0.660,0.340,0.196,0.860,0.888,0.817,0.650,0.350,0.226,0.820,0.858,0.797,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0230,integration,03,A3_scorecard_decide,batch-0230,ss-15,sample_spec,3,pending,admin,none,0.570,0.430,0.204,0.865,0.894,0.824,0.590,0.410,0.214,0.870,0.894,0.834,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0231,integration,03,A3_scorecard_decide,batch-0231,ss-16,sample_spec,3,pending,reviewer,schema_mismatch,0.580,0.420,0.156,0.870,0.900,0.831,0.610,0.390,0.136,0.880,0.910,0.851,accept,500,false,false,agent_run_start|tool_call|error_response,180
INT-0232,integration,03,A3_scorecard_decide,batch-0232,ss-17,sample_spec,3,approved,operator,timeout,0.590,0.410,0.164,0.875,0.906,0.782,0.580,0.420,0.194,0.835,0.876,0.762,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0233,integration,03,A3_scorecard_decide,batch-0233,ss-18,sample_spec,3,pending,operator,none,0.600,0.400,0.172,0.880,0.912,0.789,0.620,0.380,0.182,0.885,0.912,0.799,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0234,integration,03,A3_scorecard_decide,batch-0234,ss-19,sample_spec,3,rejected,operator,tool_5xx,0.610,0.390,0.180,0.840,0.882,0.796,0.640,0.360,0.160,0.850,0.892,0.816,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0235,integration,03,A3_scorecard_decide,batch-0235,ss-20,sample_spec,3,pending,admin,none,0.620,0.380,0.188,0.845,0.888,0.803,0.610,0.390,0.218,0.805,0.858,0.783,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0236,integration,03,A3_scorecard_decide,batch-0236,ss-21,sample_spec,3,approved,operator,none,0.630,0.370,0.196,0.850,0.894,0.810,0.650,0.350,0.206,0.855,0.894,0.820,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0237,integration,03,A3_scorecard_decide,batch-0237,ss-22,sample_spec,3,pending,operator,none,0.640,0.360,0.204,0.855,0.900,0.817,0.670,0.330,0.184,0.865,0.910,0.837,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0238,integration,03,A3_scorecard_decide,batch-0238,ss-23,sample_spec,3,pending,anonymous,none,0.650,0.350,0.156,0.860,0.906,0.824,0.640,0.360,0.186,0.820,0.876,0.804,reject,401,false,false,agent_run_start|tool_call|error_response,180
INT-0239,integration,03,A3_scorecard_decide,batch-0239,ss-24,sample_spec,3,pending,operator,none,0.660,0.340,0.164,0.865,0.912,0.831,0.680,0.320,0.174,0.870,0.912,0.841,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0240,integration,03,A3_scorecard_decide,batch-0240,ss-01,sample_spec,3,approved,admin,timeout,0.570,0.430,0.172,0.870,0.882,0.782,0.600,0.400,0.152,0.880,0.892,0.802,accept,200,true,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed|ruleset_activated,180
INT-0241,integration,03,A3_scorecard_decide,batch-0241,ss-02,sample_spec,3,pending,operator,none,0.580,0.420,0.180,0.875,0.888,0.789,0.570,0.430,0.210,0.835,0.858,0.769,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0242,integration,03,A3_scorecard_decide,batch-0242,ss-03,sample_spec,3,pending,operator,schema_mismatch,0.590,0.410,0.188,0.880,0.894,0.796,0.610,0.390,0.198,0.885,0.894,0.806,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0243,integration,03,A3_scorecard_decide,batch-0243,ss-04,sample_spec,3,pending,operator,tool_5xx,0.600,0.400,0.196,0.840,0.900,0.803,0.630,0.370,0.176,0.850,0.910,0.823,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0244,integration,03,A3_scorecard_decide,batch-0244,ss-05,sample_spec,3,approved,operator,none,0.610,0.390,0.204,0.845,0.906,0.810,0.600,0.400,0.234,0.805,0.876,0.790,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0245,integration,03,A3_scorecard_decide,batch-0245,ss-06,sample_spec,3,pending,reviewer,none,0.620,0.380,0.156,0.850,0.912,0.817,0.640,0.360,0.166,0.855,0.912,0.827,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0246,integration,03,A3_scorecard_decide,batch-0246,ss-07,full,3,pending,operator,none,0.630,0.370,0.164,0.855,0.882,0.824,0.660,0.340,0.144,0.865,0.892,0.844,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0247,integration,03,A3_scorecard_decide,batch-0247,ss-08,sample_spec,3,rejected,operator,event_drop,0.640,0.360,0.172,0.860,0.888,0.831,0.630,0.370,0.202,0.820,0.858,0.811,reject,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0248,integration,03,A3_scorecard_decide,batch-0248,ss-09,sample_spec,3,approved,operator,timeout,0.650,0.350,0.180,0.865,0.894,0.782,0.670,0.330,0.190,0.870,0.894,0.792,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0249,integration,03,A3_scorecard_decide,batch-0249,ss-10,sample_spec,3,pending,operator,none,0.660,0.340,0.188,0.870,0.900,0.789,0.690,0.310,0.168,0.880,0.910,0.809,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0250,integration,03,A3_scorecard_decide,batch-0250,ss-11,sample_spec,3,pending,admin,none,0.570,0.430,0.196,0.875,0.906,0.796,0.560,0.440,0.226,0.835,0.876,0.776,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0251,integration,03,A3_scorecard_decide,batch-0251,ss-12,sample_spec,3,pending,operator,none,0.580,0.420,0.204,0.880,0.912,0.803,0.600,0.400,0.214,0.885,0.912,0.813,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0252,integration,03,A3_scorecard_decide,batch-0252,ss-13,sample_spec,3,approved,reviewer,tool_5xx,0.590,0.410,0.156,0.840,0.882,0.810,0.620,0.380,0.136,0.850,0.892,0.830,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0253,integration,03,A3_scorecard_decide,batch-0253,ss-14,sample_spec,3,pending,operator,schema_mismatch,0.600,0.400,0.164,0.845,0.888,0.817,0.590,0.410,0.194,0.805,0.858,0.797,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0254,integration,03,A3_scorecard_decide,batch-0254,ss-15,sample_spec,3,pending,operator,none,0.610,0.390,0.172,0.850,0.894,0.824,0.630,0.370,0.182,0.855,0.894,0.834,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0255,integration,03,A3_scorecard_decide,batch-0255,ss-16,sample_spec,3,pending,anonymous,none,0.620,0.380,0.180,0.855,0.900,0.831,0.650,0.350,0.160,0.865,0.910,0.851,accept,401,false,false,agent_run_start|tool_call|error_response,180
INT-0256,integration,03,A3_scorecard_decide,batch-0256,ss-17,sample_spec,3,approved,operator,timeout,0.630,0.370,0.188,0.860,0.906,0.782,0.620,0.380,0.218,0.820,0.876,0.762,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0257,integration,03,A3_scorecard_decide,batch-0257,ss-18,sample_spec,3,pending,operator,none,0.640,0.360,0.196,0.865,0.912,0.789,0.660,0.340,0.206,0.870,0.912,0.799,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0258,integration,03,A3_scorecard_decide,batch-0258,ss-19,sample_spec,3,pending,operator,none,0.650,0.350,0.204,0.870,0.882,0.796,0.680,0.320,0.184,0.880,0.892,0.816,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0259,integration,03,A3_scorecard_decide,batch-0259,ss-20,sample_spec,4,pending,reviewer,none,0.660,0.340,0.156,0.875,0.888,0.803,0.650,0.350,0.186,0.835,0.858,0.783,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0260,integration,03,A3_scorecard_decide,batch-0260,ss-21,sample_spec,3,rejected,admin,none,0.570,0.430,0.164,0.880,0.894,0.810,0.590,0.410,0.174,0.885,0.894,0.820,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0261,integration,03,A3_scorecard_decide,batch-0261,ss-22,sample_spec,3,pending,operator,tool_5xx,0.580,0.420,0.172,0.840,0.900,0.817,0.610,0.390,0.152,0.850,0.910,0.837,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0262,integration,03,A3_scorecard_decide,batch-0262,ss-23,sample_spec,3,pending,operator,none,0.590,0.410,0.180,0.845,0.906,0.824,0.580,0.420,0.210,0.805,0.876,0.804,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0263,integration,03,A3_scorecard_decide,batch-0263,ss-24,sample_spec,3,pending,operator,none,0.600,0.400,0.188,0.850,0.912,0.831,0.620,0.380,0.198,0.855,0.912,0.841,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0264,integration,03,A3_scorecard_decide,batch-0264,ss-01,sample_spec,3,approved,operator,schema_mismatch,0.610,0.390,0.196,0.855,0.882,0.782,0.640,0.360,0.176,0.865,0.892,0.802,accept,500,false,false,agent_run_start|tool_call|error_response,180
INT-0265,integration,03,A3_scorecard_decide,batch-0265,ss-02,sample_spec,0,pending,admin,none,0.620,0.380,0.204,0.860,0.888,0.789,0.610,0.390,0.234,0.820,0.858,0.769,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0266,integration,03,A3_scorecard_decide,batch-0266,ss-03,sample_spec,3,pending,reviewer,event_drop,0.630,0.370,0.156,0.865,0.894,0.796,0.650,0.350,0.166,0.870,0.894,0.806,reject,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0267,integration,03,A3_scorecard_decide,batch-0267,ss-04,sample_spec,3,pending,operator,none,0.640,0.360,0.164,0.870,0.900,0.803,0.670,0.330,0.144,0.880,0.910,0.823,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0268,integration,03,A3_scorecard_decide,batch-0268,ss-05,sample_spec,3,approved,operator,none,0.650,0.350,0.172,0.875,0.906,0.810,0.640,0.360,0.202,0.835,0.876,0.790,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0269,integration,03,A3_scorecard_decide,batch-0269,ss-06,sample_spec,3,pending,operator,none,0.660,0.340,0.180,0.880,0.912,0.817,0.680,0.320,0.190,0.885,0.912,0.827,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0270,integration,03,A3_scorecard_decide,batch-0270,ss-07,sample_spec,3,pending,admin,tool_5xx,0.570,0.430,0.188,0.840,0.882,0.824,0.600,0.400,0.168,0.850,0.892,0.844,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0271,integration,03,A3_scorecard_decide,batch-0271,ss-08,sample_spec,3,pending,operator,none,0.580,0.420,0.196,0.845,0.888,0.831,0.570,0.430,0.226,0.805,0.858,0.811,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0272,integration,03,A3_scorecard_decide,batch-0272,ss-09,sample_spec,3,approved,anonymous,timeout,0.590,0.410,0.204,0.850,0.894,0.782,0.610,0.390,0.214,0.855,0.894,0.792,reject,401,false,false,agent_run_start|tool_call|error_response,180
INT-0273,integration,03,A3_scorecard_decide,batch-0273,ss-10,sample_spec,3,rejected,reviewer,none,0.600,0.400,0.156,0.855,0.900,0.789,0.630,0.370,0.136,0.865,0.910,0.809,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0274,integration,03,A3_scorecard_decide,batch-0274,ss-11,sample_spec,3,pending,operator,none,0.610,0.390,0.164,0.860,0.906,0.796,0.600,0.400,0.194,0.820,0.876,0.776,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0275,integration,03,A3_scorecard_decide,batch-0275,ss-12,sample_spec,3,pending,admin,schema_mismatch,0.620,0.380,0.172,0.865,0.912,0.803,0.640,0.360,0.182,0.870,0.912,0.813,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0276,integration,03,A3_scorecard_decide,batch-0276,ss-13,sample_spec,3,approved,operator,none,0.630,0.370,0.180,0.870,0.882,0.810,0.660,0.340,0.160,0.880,0.892,0.830,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0277,integration,03,A3_scorecard_decide,batch-0277,ss-14,sample_spec,3,pending,operator,none,0.640,0.360,0.188,0.875,0.888,0.817,0.630,0.370,0.218,0.835,0.858,0.797,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0278,integration,03,A3_scorecard_decide,batch-0278,ss-15,sample_spec,3,pending,operator,none,0.650,0.350,0.196,0.880,0.894,0.824,0.670,0.330,0.206,0.885,0.894,0.834,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0279,integration,03,A3_scorecard_decide,batch-0279,ss-16,sample_spec,3,pending,operator,tool_5xx,0.660,0.340,0.204,0.840,0.900,0.831,0.690,0.310,0.184,0.850,0.910,0.851,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0280,integration,03,A3_scorecard_decide,batch-0280,ss-17,sample_spec,3,approved,reviewer,timeout,0.570,0.430,0.156,0.845,0.906,0.782,0.560,0.440,0.186,0.805,0.876,0.762,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0281,integration,03,A3_scorecard_decide,batch-0281,ss-18,sample_spec,3,pending,operator,none,0.580,0.420,0.164,0.850,0.912,0.789,0.600,0.400,0.174,0.855,0.912,0.799,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0282,integration,03,A3_scorecard_decide,batch-0282,ss-19,sample_spec,3,pending,operator,none,0.590,0.410,0.172,0.855,0.882,0.796,0.620,0.380,0.152,0.865,0.892,0.816,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0283,integration,03,A3_scorecard_decide,batch-0283,ss-20,sample_spec,3,pending,operator,none,0.600,0.400,0.180,0.860,0.888,0.803,0.590,0.410,0.210,0.820,0.858,0.783,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0284,integration,03,A3_scorecard_decide,batch-0284,ss-21,sample_spec,3,approved,operator,none,0.610,0.390,0.188,0.865,0.894,0.810,0.630,0.370,0.198,0.870,0.894,0.820,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0285,integration,03,A3_scorecard_decide,batch-0285,ss-22,sample_spec,3,pending,admin,event_drop,0.620,0.380,0.196,0.870,0.900,0.817,0.650,0.350,0.176,0.880,0.910,0.837,accept,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0286,integration,03,A3_scorecard_decide,batch-0286,ss-23,sample_spec,3,rejected,operator,schema_mismatch,0.630,0.370,0.204,0.875,0.906,0.824,0.620,0.380,0.234,0.835,0.876,0.804,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0287,integration,03,A3_scorecard_decide,batch-0287,ss-24,full,3,pending,reviewer,none,0.640,0.360,0.156,0.880,0.912,0.831,0.660,0.340,0.166,0.885,0.912,0.841,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0288,integration,03,A3_scorecard_decide,batch-0288,ss-01,sample_spec,3,approved,operator,tool_5xx,0.650,0.350,0.164,0.840,0.882,0.782,0.680,0.320,0.144,0.850,0.892,0.802,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0289,integration,03,A3_scorecard_decide,batch-0289,ss-02,sample_spec,3,pending,anonymous,none,0.660,0.340,0.172,0.845,0.888,0.789,0.650,0.350,0.202,0.805,0.858,0.769,reject,401,false,false,agent_run_start|tool_call|error_response,180
INT-0290,integration,03,A3_scorecard_decide,batch-0290,ss-03,sample_spec,3,pending,admin,none,0.570,0.430,0.180,0.850,0.894,0.796,0.590,0.410,0.190,0.855,0.894,0.806,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0291,integration,03,A3_scorecard_decide,batch-0291,ss-04,sample_spec,3,pending,operator,none,0.580,0.420,0.188,0.855,0.900,0.803,0.610,0.390,0.168,0.865,0.910,0.823,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0292,integration,03,A3_scorecard_decide,batch-0292,ss-05,sample_spec,3,approved,operator,none,0.590,0.410,0.196,0.860,0.906,0.810,0.580,0.420,0.226,0.820,0.876,0.790,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0293,integration,03,A3_scorecard_decide,batch-0293,ss-06,sample_spec,3,pending,operator,none,0.600,0.400,0.204,0.865,0.912,0.817,0.620,0.380,0.214,0.870,0.912,0.827,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0294,integration,03,A3_scorecard_decide,batch-0294,ss-07,sample_spec,3,pending,reviewer,none,0.610,0.390,0.156,0.870,0.882,0.824,0.640,0.360,0.136,0.880,0.892,0.844,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0295,integration,03,A3_scorecard_decide,batch-0295,ss-08,sample_spec,3,pending,admin,none,0.620,0.380,0.164,0.875,0.888,0.831,0.610,0.390,0.194,0.835,0.858,0.811,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0296,integration,03,A3_scorecard_decide,batch-0296,ss-09,sample_spec,4,approved,operator,timeout,0.630,0.370,0.172,0.880,0.894,0.782,0.650,0.350,0.182,0.885,0.894,0.792,reject,400,false,false,agent_run_start|tool_call|error_response,180
INT-0297,integration,03,A3_scorecard_decide,batch-0297,ss-10,sample_spec,3,pending,operator,schema_mismatch,0.640,0.360,0.180,0.840,0.900,0.789,0.670,0.330,0.160,0.850,0.910,0.809,accept,500,false,false,agent_run_start|tool_call|error_response,180
INT-0298,integration,03,A3_scorecard_decide,batch-0298,ss-11,sample_spec,3,pending,operator,none,0.650,0.350,0.188,0.845,0.906,0.796,0.640,0.360,0.218,0.805,0.876,0.776,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0299,integration,03,A3_scorecard_decide,batch-0299,ss-12,sample_spec,3,rejected,operator,none,0.660,0.340,0.196,0.850,0.912,0.803,0.680,0.320,0.206,0.855,0.912,0.813,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0300,integration,03,A3_scorecard_decide,batch-0300,ss-13,sample_spec,3,approved,admin,none,0.570,0.430,0.204,0.855,0.882,0.810,0.600,0.400,0.184,0.865,0.892,0.830,accept,200,true,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed|ruleset_activated,180
INT-0301,integration,04,A4_change_request,batch-0301,ss-14,sample_spec,3,pending,reviewer,none,0.580,0.420,0.156,0.860,0.888,0.817,0.570,0.430,0.186,0.820,0.858,0.797,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0302,integration,04,A4_change_request,batch-0302,ss-15,sample_spec,3,pending,operator,none,0.590,0.410,0.164,0.865,0.894,0.824,0.610,0.390,0.174,0.870,0.894,0.834,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0303,integration,04,A4_change_request,batch-0303,ss-16,sample_spec,3,pending,operator,none,0.600,0.400,0.172,0.870,0.900,0.831,0.630,0.370,0.152,0.880,0.910,0.851,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0304,integration,04,A4_change_request,batch-0304,ss-17,sample_spec,3,approved,operator,event_drop,0.610,0.390,0.180,0.875,0.906,0.782,0.600,0.400,0.210,0.835,0.876,0.762,reject,200,false,false,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0305,integration,04,A4_change_request,batch-0305,ss-18,sample_spec,3,pending,admin,none,0.620,0.380,0.188,0.880,0.912,0.789,0.640,0.360,0.198,0.885,0.912,0.799,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0306,integration,04,A4_change_request,batch-0306,ss-19,sample_spec,3,pending,anonymous,tool_5xx,0.630,0.370,0.196,0.840,0.882,0.796,0.660,0.340,0.176,0.850,0.892,0.816,accept,401,false,false,agent_run_start|tool_call|error_response,180
INT-0307,integration,04,A4_change_request,batch-0307,ss-20,sample_spec,3,pending,operator,none,0.640,0.360,0.204,0.845,0.888,0.803,0.630,0.370,0.234,0.805,0.858,0.783,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0308,integration,04,A4_change_request,batch-0308,ss-21,sample_spec,3,approved,reviewer,schema_mismatch,0.650,0.350,0.156,0.850,0.894,0.810,0.670,0.330,0.166,0.855,0.894,0.820,reject,500,false,false,agent_run_start|tool_call|error_response,180
INT-0309,integration,04,A4_change_request,batch-0309,ss-22,sample_spec,3,pending,operator,none,0.660,0.340,0.164,0.855,0.900,0.817,0.690,0.310,0.144,0.865,0.910,0.837,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0310,integration,04,A4_change_request,batch-0310,ss-23,sample_spec,3,pending,admin,none,0.570,0.430,0.172,0.860,0.906,0.824,0.560,0.440,0.202,0.820,0.876,0.804,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0311,integration,04,A4_change_request,batch-0311,ss-24,sample_spec,3,pending,operator,none,0.580,0.420,0.180,0.865,0.912,0.831,0.600,0.400,0.190,0.870,0.912,0.841,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0312,integration,04,A4_change_request,batch-0312,ss-01,sample_spec,3,rejected,operator,timeout,0.590,0.410,0.188,0.870,0.882,0.782,0.620,0.380,0.168,0.880,0.892,0.802,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
